Horodatage,Channel,Mot_A429
100271,0,E65A232D
100417,1,34A93CD2
101233,0,DCABDC2B
101379,1,7BC35F1D
102254,0,9A629879
102400,1,0715E6A9
103254,0,4AA22589
103399,1,2BDE9F04
104254,0,C964A667
104399,1,10C1A919
105254,0,975FB781
105400,1,2453864C
106274,0,A4918AF1
106399,1,8A645E6B
107254,0,3BF9D590
107399,1,460E8B2B
108254,0,22F71DF0
108419,1,55713CC4
109274,0,FC7F25FC
109420,1,E6C8CAE7
110254,0,06D1E376
110399,1,5B42BA96
111274,0,8F01A5E0
111420,1,17B50BAB
112254,0,6EB86FC0
112399,1,F09ED083
113254,0,F31620E2
113400,1,F6098C8B
114258,0,EDF02AD8
114404,1,DC7709F2
115260,0,92E872B5
115366,1,28B7EB93
116264,0,23BA3218
116369,1,BB8EEE9A
117267,0,7BDD2A45
117413,1,755FF475
118270,0,CE2F9452
118396,1,61B30FF3
119272,0,D1084078
119397,1,94D0E389
120254,0,36BF7EC0
120399,1,453EF827
121254,0,AA3AC953
121399,1,925526AD
122254,0,C6949407
122399,1,2F1794E9
123254,0,92D8A7EB
123399,1,E4A1FEFE
124254,0,22C15DF4
124399,1,D6E53802
125274,0,46A32011
125379,1,E4D14C25
126254,0,337EA3E3
126399,1,7F2F22EB
127254,0,D03AB5B7
127399,1,38BF022D
128254,0,F16D5849
128399,1,D1B2D10F
129254,0,EA0EEF5D
129399,1,5020E1D6
130257,0,E8856712
130383,1,F1B62827
131260,0,BB812978
131406,1,5C4EE922
132262,0,974A0FE0
132409,1,3D28F791
133266,0,45AD64B5
133411,1,0E45DCFA
134268,0,88E2AD56
134394,1,7CB1CFC5
135270,0,F393076F
135376,1,B105512C
136273,0,AAE92ED9
136398,1,4C86D844
137254,0,0FDF0D78
137400,1,7087062B
138274,0,9EE733C9
138379,1,51488750
139254,0,51AD7C05
139399,1,0FBDAD19
140254,0,69D2C466
140400,1,889D6098
141254,0,0388DE6D
141400,1,A1068393
142254,0,A894E157
142379,1,C656604A
143254,0,42C8987F
143399,1,16C9D36E
144254,0,3FE6AC32
144399,1,B772AE51
145274,0,FEDAB1E4
145420,1,4D97D800
146258,0,6AC61234
146404,1,F7B0C8A5
147261,0,EECC0C4A
147407,1,D7DD7E78
148264,0,B652E404
148370,1,7F7742EA
149266,0,8B393ABD
149391,1,6810B8A7
150269,0,8A4112FA
150415,1,F6CEA3BF
151272,0,049A532E
151398,1,2CD248A2
152254,0,01CAF1A9
152400,1,DE321188
153254,0,322AB3D3
153400,1,0FAD9B3B
154254,0,B91B0B13
154399,1,71A28CED
155254,0,065E9C1E
155399,1,6351D8C8
156254,0,33DC6B03
156400,1,DA718659
157254,0,CB52189A
157399,1,259ED98B
158254,0,12645332
158400,1,4CF7898B
159254,0,DA75D24F
159399,1,21ABD2CF
160254,0,42843C9F
160379,1,D5792D8C
161254,0,888C26A2
161400,1,DA7AE8B8
162277,0,502A9764
162382,1,E7C590BE
163260,0,68DB924A
163406,1,8099861D
164263,0,561E84C1
164409,1,E445E039
165266,0,BD090058
165371,1,12E9F2F6
166269,0,A3258ABF
166415,1,E0EC513B
167251,0,57E97AEF
167397,1,4BB72061
168274,0,DCC3F3CB
168379,1,57A8DD6E
169254,0,C851D37E
169379,1,3EE36129
170274,0,D564457A
170399,1,E82D4A93
171274,0,03EE971F
171420,1,2E46BCDD
172254,0,D67B15E1
172379,1,B18C82E5
173254,0,6DD4819C
173399,1,98C0DA27
174254,0,7A6BA39B
174399,1,A67DF5FD
175254,0,9E9D6AAB
175399,1,BB2EFECD
176254,0,96F18DBB
176399,1,B7617DF6
177254,0,6DB6EECB
177400,1,D42B6CA1
178254,0,F6934427
178379,1,CE4CAA4E
179254,0,8CE45137
179399,1,6E36AD8C
180254,0,F1EACBDF
180420,1,8C833F57
181254,0,BF7F13AA
181399,1,33B2C492
182254,0,8987B8D1
182399,1,BA886075
183254,0,06845C0C
183400,1,432886F0
184254,0,496D22C4
184420,1,A559E9FA
185254,0,6D9FCD54
185399,1,B2C50A0D
186254,0,E1D9B0E9
186399,1,35036FD3
187254,0,64CD7FA2
187399,1,1D11C6C9
188254,0,9F2AD5C8
188400,1,59EDC00B
189278,0,35EB0A90
189403,1,F8C8756C
190260,0,8610E383
190406,1,299FADE5
191264,0,9B4CD7CC
191410,1,016786DA
192267,0,912F7664
192392,1,F4191205
193270,0,7E805DCB
193416,1,96F3350F
194273,0,2F1D11EC
194398,1,840D4425
195254,0,671BE796
195379,1,6063A404
196254,0,3E21225B
196400,1,4D881E39
197274,0,751CCA4E
197400,1,22831F29
198254,0,1B788302
198420,1,71919155
199254,0,5DA7C3EE
199399,1,63DF5E74
200254,0,23C1341D
200399,1,0A694DEB
201254,0,2970AF8E
201399,1,BF5E5D88
202254,0,C3A6C8AC
202420,1,E302078A
203254,0,FE4F2FE2
203420,1,2DB65043
204254,0,C80EC6E0
204399,1,C0769A94
205254,0,59CD5E98
205399,1,593D12E5
206254,0,C6CD0A70
206399,1,EB26C401
207254,0,7A5B9144
207400,1,A3E4A232
208254,0,BB5CD9AD
208420,1,304A8FDA
209254,0,2790B8CA
209400,1,93221084
210254,0,0CD2622F
210399,1,43E7FA40
211254,0,6F6B2F4A
211379,1,7957E0AC
212254,0,F51D029C
212400,1,D59DC690
213254,0,E5F31EB4
213399,1,1979ACD2
214254,0,209850A1
214399,1,9DAE1C0B
215254,0,EA41C159
215400,1,352B7A33
216254,0,B5D2DDD9
216400,1,202A3DA2
217254,0,FA0809BC
217399,1,3CB2E10A
218254,0,1B8CDEB6
218399,1,BFB9BDAC
219254,0,33778326
219399,1,E139AFFB
220254,0,352A5394
220420,1,C484B83C
221254,0,BCB7DEDE
221399,1,144FF80E
222254,0,F59EC4BB
222399,1,1619C9A7
223254,0,48CEEE37
223399,1,D8ECE00B
224274,0,41716A2A
224379,1,EF0017A0
225254,0,4A8E0178
225399,1,32825901
226254,0,DD4D1942
226399,1,FCE63BC3
227254,0,EDBAB819
227399,1,E7DF3513
228254,0,CF9F9AEA
228400,1,E37924C8
229254,0,3A4406EF
229399,1,C04FAF92
230274,0,6AA3F36C
230420,1,CFCF2DA0
231254,0,1A701BC0
231399,1,1888C620
232254,0,AEE258C1
232399,1,015E7AAF
233233,0,45A655E4
233400,1,23AFAB87
234274,0,A0A856A7
234399,1,E4FE7EFB
