Horodatage,Channel,Mot_A429
1000,1,72CBEB5A
1500,1,B92DB808
2000,1,190A867C
2500,1,F62C371E
3000,1,8653842A
3500,1,B8BB9738
4000,1,3A532B7A
4500,1,7341A29B
5000,1,51E2A2C0
5500,1,ADB2ABFF
6000,1,ECF18F89
6500,1,0B29CCC5
7000,1,04F3E73A
7500,1,36EAD9C5
8000,1,3EEB0BF8
8500,1,070254E6
9000,1,9271372F
9500,1,F6370EC8
10000,1,CCFAAAA0
10500,1,B88B13B3
11000,1,BBF40A78
11500,1,0177BACE
12000,1,9A73B5A6
12500,1,5399C262
13000,1,F1DC8B91
13500,1,CCDAD6D1
14000,1,ADE09AC5
14500,1,D9B8AACE
15000,1,A98B5039
15500,1,C4889ED6
16000,1,32C8A16D
16500,1,CCC83A3D
17000,1,B5BFF0E2
17500,1,BE06D8F2
18000,1,07027057
18500,1,491659FB
19000,1,035D253D
19500,1,A0B46F6C
20000,1,888CA869
20500,1,E5BEEC18
21000,1,57E43464
21500,1,F471DED0
22000,1,3C229263
22500,1,8C7E13FC
23000,1,5DD5F6D4
23500,1,FB35C6E5
24000,1,B2123AF6
24500,1,BBDCD95A
25000,1,45728055
25500,1,9CF6FD52
