Horodatage,Channel,Mot_A429
1000,0,DECF202F
1360,0,1FE086D1
1720,0,80119480
2080,0,42DABB9D
2440,0,8C67751C
2800,0,60062BD4
3160,0,7469D2E0
3520,0,4C4ED237
3880,0,B2E65974
4240,0,5EE927BE
4600,0,3469873A
4960,0,96B4CD9F
5320,0,C5369C55
5680,0,2AE7EFD0
6040,0,A7ADC7DC
6400,0,91C9004C
6760,0,40D8001A
7120,0,744A3FC9
7480,0,A082DC9E
7840,0,1F561EA7
8200,0,96845BCF
8560,0,03D8CA55
8920,0,BBF89808
9280,0,E02EF2C7
9640,0,A71B074B
10000,0,B170AEB5
10360,0,4F9BA69D
10720,0,FE1625CA
11080,0,A9C82849
11440,0,A89514AF
11800,0,B44E6ED5
12160,0,C5485C13
12520,0,3FD24DB9
12880,0,CB76FEEA
13240,0,F5E97475
13600,0,995B070E
13960,0,33C6D5CF
14320,0,4B737DC2
14680,0,9AB1B36A
15040,0,8C3DD003
15400,0,E9261B57
15760,0,AF94F242
16120,0,0308EAC7
16480,0,394B9115
16840,0,3784348A
17200,0,98145842
17560,0,844390EA
17920,0,821983FB
18280,0,40C644D6
18640,0,39503C65
19000,0,9C6AE060
19360,0,F1A8EDA1
19720,0,CF8478B0
20080,0,624CBD2E
20440,0,D722E0AD
20800,0,2802DB6A
21160,0,E1EA1543
21520,0,9329A16C
21880,0,A7C379A6
22240,0,1C71CBB5
22600,0,7C2B04BA
22960,0,FED4857C
23320,0,6900C1E9
23680,0,55515FD6
24040,0,04DFEA65
24400,0,BA0F641D
24760,0,7585079B
25120,0,1818F8E5
25480,0,4D1BE219
25840,0,8E77F817
26200,0,69D39C35
26560,0,E17F8B82
26920,0,0D5349FD
27280,0,36F207BB
27640,0,D29E9F52
28000,0,A712688A
28360,0,523A87DC
28720,0,658EE0ED
29080,0,87558D81
29440,0,6A161366
29800,0,8B84732C
30160,0,634A68DC
30520,0,340AD942
30880,0,1916A9E1
31240,0,B24D9240
31600,0,4D9AB6AC
31960,0,0A71F000
32320,0,1A4AF24C
32680,0,C3F981E1
33040,0,B72FDFEF
33400,0,D171389D
33760,0,5CB8CA2E
34120,0,DA3364A1
34480,0,8927ECF8
34840,0,97BC5979
35200,0,D2C69222
35560,0,634F23AF
35920,0,5DC3941E
36280,0,B50BE65F
36640,0,13980FA5
37000,0,8B182FED
37360,0,23C6467F
37720,0,2EC31362
38080,0,F6D4414F
38440,0,4F78C586
38800,0,F30285A9
39160,0,2D445AD4
39520,0,E8B7B64B
39880,0,C8F6C7D1
40240,0,854D8CC0
40600,0,18DF365D
40960,0,4D904957
41320,0,57B3E9DA
41680,0,FCBE6EE6
42040,0,2CB40BBA
42400,0,CF4FC406
42760,0,E7D9E98A
43120,0,75B3D017
43480,0,BDEABDFF
43840,0,E09EA49A
44200,0,839C6ED9
44560,0,B4F60D55
44920,0,E3E00A2A
45280,0,EA2AD9C9
45640,0,62411A99
46000,0,66C89EA7
46360,0,A27114C1
46720,0,555B3243
47080,0,251A578D
47440,0,FF434AF8
47800,0,4EB3A304
48160,0,0B4BB412
48520,0,1CE3CC75
48880,0,1011E309
49240,0,B0A0F872
49600,0,D3EFEB2E
49960,0,4958EE7A
50320,0,992088D7
50680,0,2D31F1C7
51040,0,6DFEA93B
51400,0,343BE3C6
51760,0,49F7AD81
52120,0,A72D8F02
52480,0,E52871C5
52840,0,A5E0E6D0
53200,0,C0B9CA4D
53560,0,CECA6852
53920,0,5BFC96FC
54280,0,83D152DA
54640,0,7E8F30A6
55000,0,AA309FA0
55360,0,579FE542
55720,0,8F54E682
56080,0,29D16F11
56440,0,A1CB25FD
56800,0,BAF98FCA
57160,0,A40F6D70
57520,0,20FD7640
57880,0,2D7AFC09
58240,0,2C1F3BF1
58600,0,619372E4
58960,0,42FAA930
59320,0,43433F16
59680,0,7455295B
60040,0,2FA5CBC8
60400,0,833C7070
60760,0,070CC81A
61120,0,938CA368
61480,0,49283A82
61840,0,7F34D3EA
62200,0,30BD4CBA
62560,0,2F64C6BA
62920,0,BC83BD1E
63280,0,ECFB6A44
63640,0,A89930BE
64000,0,F9BBED13
64360,0,254877C7
64720,0,235EE3F6
65080,0,DB24C1FD
65440,0,D76260B9
65800,0,A20247AB
66160,0,402A45D7
66520,0,7B6BDCA1
66880,0,CFD9EB30
67240,0,CDF28F42
67600,0,766AB882
67960,0,B878D9DC
68320,0,EA04762E
68680,0,14765951
69040,0,3703B505
69400,0,9CFB0A2C
69760,0,7DA23CD5
70120,0,278E7BC4
70480,0,4B483961
70840,0,10F3EFA5
71200,0,F6777367
