Horodatage,Channel,Mot_A429
1360,0,C6FF57C3
1717,0,2BA5FAAB
2089,0,1038B5A2
2443,0,CC56C24A
2802,0,259CC5F7
3151,0,75A53F51
3518,0,A868183F
3883,0,BC0AC4E
4234,0,118C7E0D
4603,0,F8E2D247
4964,0,C063835B
5318,0,FFCE525B
5679,0,A0D44A7E
6042,0,38B74E3A
6394,0,9EF48D01
6754,0,E3373594
7116,0,B6410520
7489,0,CB471D43
7839,0,C80E9529
8200,0,56ED225D
8554,0,38DBDFAE
8927,0,4D053453
9288,0,DA89B34E
9640,0,3C88FCD0
9997,0,7B0AAF45
10352,0,42038B37
10725,0,357D729A
11076,0,6D2D636C
11444,0,86F93D3E
11808,0,AEC281A1
12165,0,3725F8E0
12520,0,D7F4A08C
12883,0,80006BB0
13234,0,A39E996F
13603,0,FAC8C5F
13954,0,EE7D0DC7
14311,0,EF1D3577
14689,0,47F44EB6
15041,0,B6AA0C84
15407,0,AF480BF9
15767,0,F12DDD39
16128,0,446CA08E
16470,0,481474F9
16850,0,BF009B01
17204,0,5A8BD653
17567,0,780B644
17916,0,AB10450
18281,0,9D63E6C9
18630,0,34B94024
18992,0,D80FDF1F
19370,0,FF404DD
19727,0,586363CB
20080,0,9D25B9A9
20435,0,B587BBA
20791,0,84B466DB
21158,0,2432AC46
21526,0,856B3567
21888,0,BBC343FF
22232,0,D22C0FB9
22600,0,603FB1D4
22954,0,7DEB168F
23320,0,64253BB9
23675,0,484DE692
24035,0,FD5DCB9E
24395,0,2B039F3E
24768,0,10EFBBCC
25123,0,85FB47CE
25474,0,F6181006
25832,0,6DAC32C5
26208,0,A010CE03
26563,0,AB7FBBCC
26913,0,93254132
27276,0,B598DFF
27634,0,48463ED7
27996,0,5E62DDE9
28352,0,D54CB04A
28713,0,67593FA3
29073,0,8DE310D5
29442,0,36E18D79
29806,0,A8BB573C
30167,0,CD27C423
30510,0,63471DB9
30889,0,5F3FD32
31250,0,4E5DD9D8
31598,0,681F714D
31960,0,6E50416E
32314,0,F58562F1
32682,0,982416CA
33041,0,6A6A91E8
33397,0,AB4439DA
33770,0,5A4B8060
34125,0,88CCE036
34474,0,7A675133
34838,0,833BB373
35195,0,211724C0
35552,0,B7D5A0A1
35923,0,D880A553
36281,0,913572C9
36648,0,5E880844
37001,0,8F789C41
