Horodatage,Channel,Mot_A429
100000,2,44DF79E9
100361,2,F6A8E452
100722,2,F430AEB8
101083,2,535E77F2
101444,2,D5D4C778
101805,2,A29C228D
102166,2,BBC3DF58
102527,2,99F598AC
102888,2,35F7484D
103249,2,CD6D66DF
103610,2,13E34D0C
103971,2,5AC248B6
104332,2,45009936
104693,2,9F1A625D
105054,2,3CF5D743
105415,2,12EDF9B8
105776,2,58CE72B8
106137,2,98961B35
106498,2,7410A247
106859,2,DAF877D2
107220,2,5B3B184E
107581,2,27DDC00C
107942,2,24DB8CC0
108303,2,FF72E929
108664,2,A5719C8B
109025,2,93377DC0
109386,2,74E457E1
109747,2,57ABE78F
110108,2,738CCF26
110469,2,9E5B421A
110830,2,FB4B7706
111191,2,C54D3875
111552,2,359346B5
111913,2,551189C7
112274,2,E21D985A
112635,2,109E1648
112996,2,4B21F489
113357,2,7C38D67D
113718,2,6335BF07
114079,2,C0391C2F
114440,2,31444D58
114801,2,93D86B0B
115162,2,F1C7E52B
115523,2,673EB937
115884,2,5D40311F
116245,2,EFEF20F9
116606,2,B154E5C4
116967,2,4D92F593
117328,2,C06A6766
117689,2,E221FB44
118050,2,09E319C2
118411,2,97FD9768
118772,2,82428D18
119133,2,FAEDF7FE
119494,2,90A48845
119855,2,96F7B3B0
120216,2,DB3F2972
120577,2,0C779115
120938,2,888B517F
121299,2,E19E6F19
121660,2,E3E1E4CD
122021,2,65972CE6
122382,2,3F1377B9
122743,2,2B81AA52
123104,2,81127E5C
123465,2,C7D3E604
123826,2,F5F5EB2A
124187,2,DF715082
124548,2,87167AB7
124909,2,D50827EC
125270,2,9D24BFEB
125631,2,C7FBEC3A
125992,2,87401B22
126353,2,23F98A74
126714,2,3F2E01E0
127075,2,620D766C
127436,2,1A4B3BD0
127797,2,B5B5326C
128158,2,4613B950
128519,2,DA8C0236
128880,2,43D2B0E8
129241,2,1F48B867
129602,2,0E4F3A88
129963,2,CAF10F45
130324,2,B529FBE7
130685,2,9BCF0438
131046,2,A4A5E920
131407,2,82F6B933
131768,2,AE69610F
132129,2,D34B7C2D
132490,2,BC7BCA41
132851,2,39C78A9C
133212,2,921B90AF
133573,2,61B3A4B6
133934,2,61FB11C4
134295,2,39AC7074
134656,2,D95A3725
135017,2,1E799792
135378,2,F3A86CD2
135739,2,C6702B5F
