Horodatage,Channel,Mot_A429
1359,0,DECF202F
1718,0,1FE086D1
2085,0,80119480
2440,0,42DABB9D
2799,0,8C67751C
3159,0,60062BD4
3523,0,7469D2E0
3877,0,4C4ED237
4237,0,B2E65974
4604,0,5EE927BE
4966,0,3469873A
5331,0,96B4CD9F
5685,0,C5369C55
6038,0,2AE7EFD0
6402,0,A7ADC7DC
6766,0,91C9004C
7119,0,40D8001A
7481,0,744A3FC9
7844,0,A082DC9E
8198,0,1F561EA7
8562,0,96845BCF
8923,0,03D8CA55
9285,0,BBF89808
9644,0,E02EF2C7
9997,0,A71B074B
10361,0,B170AEB5
10727,0,4F9BA69D
11077,0,FE1625CA
11436,0,A9C82849
11798,0,A89514AF
12160,0,B44E6ED5
12524,0,C5485C13
12880,0,3FD24DB9
13244,0,CB76FEEA
13605,0,F5E97475
13967,0,995B070E
14326,0,33C6D5CF
14680,0,4B737DC2
15041,0,9AB1B36A
15401,0,8C3DD003
15765,0,E9261B57
16125,0,AF94F242
16477,0,0308EAC7
16838,0,394B9115
17202,0,3784348A
17562,0,98145842
17926,0,844390EA
18282,0,821983FB
18646,0,40C644D6
19000,0,39503C65
19360,0,9C6AE060
19723,0,F1A8EDA1
20077,0,CF8478B0
20444,0,624CBD2E
20798,0,D722E0AD
21163,0,2802DB6A
21524,0,E1EA1543
21878,0,9329A16C
22246,0,A7C379A6
22598,0,1C71CBB5
22963,0,7C2B04BA
23326,0,FED4857C
23681,0,6900C1E9
24041,0,55515FD6
24405,0,04DFEA65
24766,0,BA0F641D
25116,0,7585079B
25479,0,1818F8E5
25838,0,4D1BE219
26204,0,8E77F817
26562,0,69D39C35
26926,0,E17F8B82
27283,0,0D5349FD
27644,0,36F207BB
28006,0,D29E9F52
28360,0,A712688A
28726,0,523A87DC
29079,0,658EE0ED
29439,0,87558D81
29807,0,6A161366
30162,0,8B84732C
30523,0,634A68DC
30887,0,340AD942
31240,0,1916A9E1
31604,0,B24D9240
31966,0,4D9AB6AC
32326,0,0A71F000
32677,0,1A4AF24C
33041,0,C3F981E1
33406,0,B72FDFEF
33762,0,D171389D
34126,0,5CB8CA2E
34479,0,DA3364A1
34842,0,8927ECF8
35203,0,97BC5979
35566,0,D2C69222
35920,0,634F23AF
36284,0,5DC3941E
36645,0,B50BE65F
37005,0,13980FA5
37359,0,8B182FED
37722,0,23C6467F
38083,0,2EC31362
38436,0,F6D4414F
38803,0,4F78C586
39156,0,F30285A9
39524,0,2D445AD4
39886,0,E8B7B64B
40242,0,C8F6C7D1
